Text,Label
"Gimme a movie, bitch.",Question
Gimme a movie.,Question
What movie do you recommend.,Question
Whats your favorite movie?,Question
I want to see a movie right now.,Question
"Top 3 movies, go!",Question
Gimme the movie.,Question
"Im so bored, gimme a movie.",Question
Could you please recommend me a movie to watch.,Question
What movies are good right now?,Question
I want a good horror movie right now.,Genre
Any romance movies to recommend?,Genre
Any movies to recommend?,Question
"Im craving a movie right now, please help.",Question
Movie please.,Question
Recommend.,Question
Movie movie movie!,Question
Give me a good horror movie please!,Genre
I love horror movies.,Genre
Recs please...,Question
I really need a horror recommendation.,Genre
I want to see a horror movie.,Genre
I want to see a movie.,Question
Any good movies lately?,Question
Are there any good movies?,Question
Are there any good horror movies?,Genre
Can you recommend me a good movie.,Question
Best movies right now?,Question
Best horror movies right now?,Genre
Movie time.,Question
Hand me a movie.,Question
Horror movie please.,Genre
Give me movie.,Question
I request a movie.,Question
At my behest I request a movie.,Question
Suggest a movie yo.,Question
Your highness could I have a movie?,Question
"Gimme a film, bitch.",Question
Gimme a film.,Question
What film do you recommend.,Question
Whats your favorite film?,Question
I want to see a film right now.,Question
"Top 3 films, go!",Question
Gimme the film.,Question
"Im so bored, gimme a film.",Question
Could you please recommend me a film to watch.,Question
What films are good right now?,Question
I want a good horror film right now.,Genre
Any romance films to recommend?,Genre
Any films to recommend?,Question
"Im craving a film right now, please help.",Question
film please.,Question
film film film!,Question
Give me a good horror film please!,Genre
I love horror films.,Genre
I want to see a horror film.,Genre
I want to see a film.,Question
Any good films lately?,Question
Are there any good films?,Question
Are there any good horror films?,Genre
Can you recommend me a good film.,Question
Best films right now?,Question
Best horror films right now?,Genre
film time.,Question
Hand me a film.,Question
Horror film please.,Genre
Give me film.,Question
I request a film.,Question
At my behest I request a film.,Question
Suggest a film yo.,Question
Your highness could I have a film?,Question
I want a good comedy movie right now.,Genre
Give me a good comedy movie please!,Genre
I love comedy movies.,Genre
I really need a comedy recommendation.,Genre
I want to see a comedy movie.,Genre
Are there any good comedy movies?,Genre
